Hotel Name,Price,Room Type,Rating,Number of ratings,Available Rooms,Max Occupancy Allowed,Address,Lat,Long,Map Link,Images,Oyo ID
OYO 76335 Sai Sharnam International,1595,Classic (2X),3.5,1814,27,3,"B, Shabad Extension, Near DTU, Sector 17, Rohini, Delhi",28.743944,77.118722,https://bit.ly/35NiZ9l,https://images.oyoroomscdn.com/uploads/hotel_image/107150/37fb714c98b63673.jpg,DEL2815
OYO 67019 Jps Green Hotels,1766,Saver Double (X),3.7,1120,15,2,"Adjacent Gate Number 2 , Dwarka More Metro Station, Dwarka, Delhi",28.61871173874564,77.0332489348948,https://bit.ly/3ixZkjw,https://images.oyoroomscdn.com/uploads/hotel_image/91354/8587cddb31f1d87a.jpg,DEL2273
OYO 6168 Hotel Ashirwad,1705,Saver Double (X),,,9,2,"Gali Hari Mandir Marg,Paharganj, Delhi",28.643859,77.214737,http://bit.ly/2PF27Zh,https://images.oyoroomscdn.com/uploads/hotel_image/10299/82a52be5f780a47c.jpg,DEL601
OYO 70788 Days Inn Guest House,1398,Saver Double (X),3.7,140,1,2,"PLOT NO> 4, Kh. No. 107, Main road Haiderpur, Shalimar Road, Opp. Cali No. 2, Delhi",28.723974841924523,77.14769208803773,https://bit.ly/3By2Ja2,https://images.oyoroomscdn.com/uploads/hotel_image/98204/80d5dd659b204a49.jpg,DEL2468
OYO Flagship 45922 Hotel Anmol,2222,Saver Double (X),,,2,2,"Arakashan Road, Multani Dhanda, Paharganj, Delhi",28.6468048433833,77.2127395123243,http://bit.ly/2OuaMAW,https://images.oyoroomscdn.com/uploads/hotel_image/74356/2ca3e6222e988484.jpg,DEL1796
OYO 68361 Hotel Splash Inn,1649,Saver Double (X),,,1,2,"8408-8410, Krishna Mandir Gali, Paharganj, New Delhi,, Delhi",28.64681,77.21294,https://bit.ly/3gTquAA,https://images.oyoroomscdn.com/uploads/hotel_image/93407/e64fbcf5495eac6b.jpg,DEL2333
OYO 75386 Abhi Residency,1838,Deluxe (3X),3.5,223,11,3," E-1/11, Oppsite M2K Rohini Sector 7, Near Goel Sons Rohini Sec-7, Delhi",28.702555,77.116332,https://bit.ly/31orW7P,https://images.oyoroomscdn.com/uploads/hotel_image/105854/c32489be47450f4a.jpg,DEL2741
OYO 80017 Pk Plaza,1566,Classic (2X),,,9,3,"Santana Delhi Guesthouse, 4690/2, Arya Nagar Road;Sang Trashan Marg, Aram Bagh, Paharganj, , Delhi",28.644636,77.213058,https://bit.ly/3d4OqjI,https://images.oyoroomscdn.com/uploads/hotel_image/111554/c2a306e7ef495c0e.jpg,DEL3100
OYO 78855 Dream Sky Hotel,2204,Classic (2X),3.9,416,24,3,"plot no-1 delhi noida road vasundhara enclave near by shani mandir , Delhi",28.607722,77.320694,https://bit.ly/3vWTEEy,https://images.oyoroomscdn.com/uploads/hotel_image/110195/317c2539a731cd75.jpg,DEL3004
OYO 80203 Hotel Cozy Inn,1373,Deluxe (3X),3.6,157,12,3,"near FORTIS hospital, Shalimar Bagh, Delhi",28.70959,77.16873,https://bit.ly/2UxhEkH,https://images.oyoroomscdn.com/uploads/hotel_image/111788/72cb8df6c33e918a.jpg,DEL3117
Townhouse OAK Hotel Heaven,2584,Deluxe (3X),,,30,3," Greater Kailash Part-1, Delhi",28.5481736065249,77.2384680993855,https://bit.ly/3rc1vxg,https://images.oyoroomscdn.com/uploads/hotel_image/113696/d7834137d8baeef9.jpg,DEL3250
OYO Flagship 75888 Kd House,1435,Classic (2X),,,15,3,"Palam Extn, Sec-7,Dwarka, Delhi",28.5588436,77.0479153,https://bit.ly/3hRE74I,https://images.oyoroomscdn.com/uploads/hotel_image/106551/e3bb0aad196f4b21.jpg,DEL2778
OYO 79688 Hotel Perfect Inn,1719,Classic (2X),,,8,3,"Ram Krishna Marg, Sector 16, Rohini, Delhi",28.7385407734634,77.1250917948782,https://bit.ly/3fL3SSw,https://images.oyoroomscdn.com/uploads/hotel_image/111166/8986861e9b800305.jpg,DEL3072
OYO 80575 Kashish Inn,2878,Classic (2X),,,7,3,"21, Sawanpark Extension, Ashok Vihar-3, Delhi",28.6924262794602,77.1824803389609,https://bit.ly/3dmG3jI,https://images.oyoroomscdn.com/uploads/hotel_image/112256/59d8b3b5bd0145ed.jpg,DEL3148
OYO 11594 Hotel TVS,2485,Classic (2X),,,17,3,"Multani dhanda, Arakashan Road , Delhi",28.6471511580256,77.2108431905508,http://bit.ly/2DyRlRG,https://images.oyoroomscdn.com/uploads/hotel_image/18566/4ba98d64218afe0b.mp4,DEL874
Capital O 81418 Lime Tree,2176,Deluxe (3X),3.7,19,21,3,"MBR Enclave, Pochanpur, Sector 23, Dwarka, near durga mata mandir chowk, Delhi",28.5587695388753,77.0501984842122,https://bit.ly/3eq0VqI,https://images.oyoroomscdn.com/uploads/hotel_image/113371/ed7fc9a9915d5a1a.jpg,DEL3219
OYO 80012 Townhouse 375 Dwarka New Delhi,1725,Classic (2X),3.5,659,44,3,"Nishat Park, Kakrola, Dwarka Sec 15, Delhi",28.6176606674875,77.0262235589325,https://bit.ly/3lJq4Pv,https://images.oyoroomscdn.com/uploads/hotel_image/111547/b2e09cd56773a80a.jpg,DEL3099
OYO 74753 Sushma Ssadan,1756,Saver Double (X),,,2,2,"Sawan Park Ashok Vihar Phase 3 Model Town Tehsil, Delhi",28.691673,77.184794,https://bit.ly/34DDrsr,https://images.oyoroomscdn.com/uploads/hotel_image/104954/75ffc8de495fedcf.jpg,DEL2696
OYO TOWNHOUSE 460 H C Grand,2305,Classic (2X),3.7,80,19,3,"Pocket-2, Jasola, Delhi",28.5449014,77.2935662,http://bit.ly/2KBQWQ9,https://images.oyoroomscdn.com/uploads/hotel_image/8660/a38f8322ee723d2e.jpg,DEL529
OYO 5696 R Continental,1583,Classic (2X),,,16,3,"Near Maharashtra Bhawan, Delhi",28.646831,77.209806,https://bit.ly/2VPTMtf,https://images.oyoroomscdn.com/uploads/hotel_image/9517/45614a2ba46b34ac.mp4,DEL568
OYO Flagship 27968 Vishwakarma Palace,1955,Classic (2X),,,95,3,"A-02, Hargovind Vihar, Sir Chotu Ram Marg, Pocket 2, Sector 4, Rohini, Delhi",28.70686,77.10078,https://bit.ly/37fzGuc,https://images.oyoroomscdn.com/uploads/hotel_image/104220/67d1c476d6466e6a.jpg,DEL2653
OYO 76733 Hotel Mannat Inn,1298,Classic (2X),3.7,539,19,3,"7875-79, Arakashan Road, Basti Ara Kashan, Kotwali Tehsil, Delhi",28.6459010244037,77.2160726599395,https://bit.ly/387xZ4s,https://images.oyoroomscdn.com/uploads/hotel_image/107678/9652b38abffc78cf.jpg,DEL2852
OYO 29435 Kalras Bnb,1830,Deluxe (3X),4,192,15,3,"C R Park, Delhi",28.539389,77.245139,https://bit.ly/3yVn9cn,https://images.oyoroomscdn.com/uploads/hotel_image/50493/92b6fc2622bb5fb6.jpg,DEL1374
OYO 19475 Vijay Inn,1663,Saver Double (X),,,4,2,"Chandi wali gali , Main Bazar, Paharganj, Delhi",28.64154,77.214518,http://bit.ly/2N0EvMb,https://images.oyoroomscdn.com/uploads/hotel_image/42547/0336997d8ac34378.jpg,DEL1105
OYO Townhouse 381 Dilshad Garden,2332,Classic (2X),3.6,5070,21,3,"Near Dilshad Garden, Pocket E, Delhi",28.6886,77.32355,https://bit.ly/3mOYGzt,https://images.oyoroomscdn.com/uploads/hotel_image/106627/66346b8f3b7a7644.jpg,DEL2782
OYO 79116 The Shagun Residency,1701,Classic (2X),3.6,137,5,3,"Fateh Nagar, D-Block,  Jail road, New Delhi,, Delhi",28.63414768332612,77.09789888933301,"https://www.google.com/maps/search/?api=1&query=28.63414768332612,77.09789888933301",https://images.oyoroomscdn.com/uploads/hotel_image/110514/e90c2b7ed28a13d4.jpg,DEL3032
Capital O 2741 Hotel Corporate Point,3133,Deluxe (3X),3.7,157,19,3,"Near Bhikaji kama place and Hyatt hotel Safdarjung enclave, Delhi",28.5676,77.18963,https://bit.ly/3ifUbwG,https://images.oyoroomscdn.com/uploads/hotel_image/3910/66a8d896be95470a.jpg,DEL345
OYO 69507 Royal King Inn,1729,Saver Double (X),,,3,2,"singhu border road Ch Ramdev Marg, Marmurpur, Delhi",28.857682,77.109862,https://bit.ly/2UtNleB,https://images.oyoroomscdn.com/uploads/hotel_image/95468/33c9810b40ed5187.jpg,DEL2384
OYO 82741 Mohan Garden Stays,1321,Classic (2X),,,48,3,"5/21/2, Block N 2, Block K, Mohan Garden, New Delhi, Delhi 110059, India, Delhi",28.634265987655937,77.03843420451068,https://bit.ly/3BGJTxo,https://images.oyoroomscdn.com/uploads/hotel_image/114881/28283905db5f6001.jpg,DEL3328
OYO Townhouse 340 JAGEER PALACE,2422,Classic (2X),,,63,3,"C 6/1 Mansarover Garden, Ring Road, Delhi",28.638843,77.12989,https://bit.ly/3k1iXQl,https://images.oyoroomscdn.com/uploads/hotel_image/105355/5e94976dbd69a4e0.mp4,DEL2711
OYO Townhouse 013 New Friends Colony,2614,Classic (2X),3.9,3354,11,3,"CV Raman Marg, Block D, Taimoor Nagar, New Friends Colony, Delhi",28.569145,77.267978,https://bit.ly/3wRTP5u,https://images.oyoroomscdn.com/uploads/hotel_image/105397/4e8b41b7650a3880.jpg,DEL2715
Townhouse 411 ESSAR INN,2131,Classic (2X),4,1,25,3,"Metro Pillar No. 162, Delhi",28.641947,77.17363,http://bit.ly/2BQNf6K,https://images.oyoroomscdn.com/uploads/hotel_image/216/1c181b111f9f0a28.jpg,DEL069
OYO 80919 Hotel Vinayaka Inn,1364,Classic (2X),,,17,3,"8881Multani Dhanda, Delhi",28.6458216505358,77.2111102379858,https://bit.ly/2S4Qb9c,https://images.oyoroomscdn.com/uploads/hotel_image/112759/f07335a71e8fa003.jpg,DEL3173
OYO Townhouse 023 CR Park,3444,Classic (2X),4,85,11,3,"C R Park, Near Savitri cine complex, chitranjan marg, Delhi",28.5433043,77.2402965,https://bit.ly/3jSBDVh,https://images.oyoroomscdn.com/uploads/hotel_image/113802/108640a66c9ac9e2.jpg,DEL3261
OYO 43141 Suraj Dx,1516,Saver Double (X),4.3,585,3,2,"8156/6, Arakashan Road, Pahar Ganj, Delhi",28.646555,77.213398,https://bit.ly/3xIXrXe,https://images.oyoroomscdn.com/uploads/hotel_image/61266/293a71ca6c10bdff.jpg,DEL1725
Capital O 8236 The Kailash Dev Hotel,2136,Classic (2X),,,22,3,"Sarai Pipal Thala Ext. Adarsh Nagar Metro Pillar no- 98, Delhi",28.719251,77.1691863,http://bit.ly/2Wrwm8Q,https://images.oyoroomscdn.com/uploads/hotel_image/13619/c50f18de9442761f.jpg,DEL706
OYO 12789 Hotel Aaron Castle,2135,Deluxe (3X),,,16,3,"Block A2, Africa Avenue road, Safdarjung Enclave, Delhi",28.567972,77.18966,http://bit.ly/2XcNgIB,https://images.oyoroomscdn.com/uploads/hotel_image/20206/493420887603ff90.mp4,DEL915
OYO 80157 Collection O The Grand Westend,1863,Classic (2X),,,8,3,"Community Center, Vikaspuri, Delhi",28.6392868,77.073474,https://bit.ly/3zLR2eE,https://images.oyoroomscdn.com/uploads/hotel_image/111742/ed8783f9ef1139c8.jpg,DEL3109
OYO 71814 Palm Stay ,1727,Classic (2X),,,10,3,"14, Swami Dayanand Marg, Gali no 5 , near East Azad Nagar metro station,Delhi, 110032, Delhi",28.6668803767,77.2837721183896,http://bit.ly/39PAJBj,https://images.oyoroomscdn.com/uploads/hotel_image/100301/932156f8743a5928.jpg,DEL2537
OYO 67901 Hotel Yugh Dx,1758,Classic (2X),,,17,3,"3979 bazar kaseruwalan,paharganj, Delhi",28.643422,77.214441,http://bit.ly/2rfr7yJ,https://images.oyoroomscdn.com/uploads/hotel_image/92602/2008bd2adb566828.jpg,DEL2309
Capital O 76736 Ornate Inn By Blessings ,2345,Classic (2X),4.1,352,26,3,"Adjoining JIMS College, Sector 3 Rohini, Near Rithala Metro Station, Delhi",28.703219491981027,77.1079380789827,https://bit.ly/3qke7Ca,https://images.oyoroomscdn.com/uploads/hotel_image/107681/c9a6a1cd5e005bd1.jpg,DEL2854
Capital O 81366 Vikas Inn Nxt,2306,Deluxe (3X),,,24,3,"Ashok Park Main, Near Onkar nagar, Delhi",28.6714396127716,77.1576132439077,https://bit.ly/3x8MDRM,https://images.oyoroomscdn.com/uploads/hotel_image/113318/8d435f155d9dbf5c.jpg,DEL3212
OYO 61592 All In One,1534,Saver Double (X),,,13,2,"opposite metro pill 821, Near Dwarka Metro Station, Hari Vihar, Dwaraka, Delhi",28.617247,77.023033,http://bit.ly/2QgX7y5,https://images.oyoroomscdn.com/uploads/hotel_image/82665/fcebfc9734c48aa2.jpg,DEL2066
OYO 81948 Dream Palace,1745,Classic (2X),,,27,3," Arakashan Road, Delhi",28.6458524751232,77.2154591046274,https://bit.ly/2WE7DTJ,https://images.oyoroomscdn.com/uploads/hotel_image/113985/eacba93ce090beb2.jpg,DEL3275
OYO 26796 Nikunj Bed & Breakfast,1698,Saver Double (X),,,3,2,"Ahata Thakur Dass Sarai Rohilla, Delhi",28.662278,77.184511,https://bit.ly/35MdmYY,https://images.oyoroomscdn.com/uploads/hotel_image/47936/521dd674e52fa011.jpg,DEL1271
OYO 80311 Friend's Stay Paschim vihar,2211,Classic (2X),3.6,35,6,3,"Paschim Vihar, Opposite Inderprasth School, Delhi",28.674194,77.103861,https://bit.ly/3kL8n3J,https://images.oyoroomscdn.com/uploads/hotel_image/111906/2c8a8a1da36b9272.jpg,DEL3129
OYO 81168 Collection O Dwarka Mor,1783,Classic (2X),,,17,3,"Gulab Bagh nawada metro Piller no. 755, near Mohan x-ray lab, najfgarh road, Delhi",28.62,77.038806,https://bit.ly/3reSBPC,https://images.oyoroomscdn.com/uploads/hotel_image/113031/3c1244e2cf2af875.jpg,DEL3198
OYO 76172 Splendid Orbit,1236,Classic (2X),,,15,3,"Plot No 34, Sec-18 Rohini, Above bank of Baroda, Rohini, Delhi, 110089, India, Delhi",28.741207553917,77.1325637586415,https://bit.ly/3pw1mCP,https://images.oyoroomscdn.com/uploads/hotel_image/106947/91ab8ad52fe5eba1.jpg,DEL2805
OYO 74671 Viraat Inn,1385,Saver Double (X),,,14,2,"C8, Ram Datt Enclave, Bindapur, Dwarka Tehsil, South West Delhi, Delhi",28.619425,77.066914,https://bit.ly/3CzooPJ,https://images.oyoroomscdn.com/uploads/hotel_image/104849/534314ce84500709.jpg,DEL2692
OYO 7634 Hotel Delhi Continental,1522,Classic (2X),3.5,367,24,3,"Plot No. 8218-19, Arakashan Road, Delhi",28.6469734,77.2116857,http://bit.ly/2kisd7y,https://images.oyoroomscdn.com/uploads/hotel_image/12781/e7d98923922d4b6e.jpg,DEL694
OYO Home 78803 Elegant Studio Rohini,1644,Classic (2X),3.5,300,11,3,"Pocket 1, Sector 15, Rohini, Delhi",28.7275460850072,77.1299281530082,https://bit.ly/2MVeinD,https://images.oyoroomscdn.com/uploads/hotel_image/110142/aca246fb9ea44eaf.jpg,DEL3000
OYO Townhouse 117 Punjabi Bagh,2336,Classic (2X),3.8,5544,21,3,"C71, Shivaji Park, Punjabi Bagh, Delhi",28.67434,77.12917,https://bit.ly/36CjkNQ,https://images.oyoroomscdn.com/uploads/hotel_image/107124/cbaa2808c7fe4867.jpg,DEL2813
OYO 79847 Collection O Hotel NDLS Paharganj,1951,Classic (2X),4.2,7,39,3,"Sri Vinayak, Qutab Road, Multani Dhanda, Paharganj, Kotwali Tehsil, Delhi",28.6460393154539,77.2178046964109,https://bit.ly/3vxuXQ4,https://images.oyoroomscdn.com/uploads/hotel_image/111347/59c54a5d931c2f2e.jpg,DEL3085
Collection O 80887 Hotel JPS,2020,Classic (2X),,,20,3,"Kakrola, Dwarka Sector 15, Delhi",28.6139384424672,77.0288779400289,https://bit.ly/3yUrNYu,https://images.oyoroomscdn.com/uploads/hotel_image/112714/fbcb2631b7e292da.jpg,DEL3171
OYO 74584 Hotel Pole Star,1972,Classic (2X),3.6,339,24,3,"Mangeram park, Near Sector 23, Delhi",28.7199170688341,77.0778259076178,https://bit.ly/2ZNmc5c,https://images.oyoroomscdn.com/uploads/hotel_image/104740/a79e33f6e50845a7.jpg,DEL2687
OYO 80291 JK Brothers Residency,1843,Classic (2X),,,8,3,"Shambhu Tea Stall, IGNOU Road, Said-ul-Ajaib Village, Saket Tehsil, Delhi",28.512908461443,77.2041623108089,https://bit.ly/39OiAFY,https://images.oyoroomscdn.com/uploads/hotel_image/111882/78fc935541464baa.jpg,DEL3128
Capital O 79858 Hotel Jp Tower,2307,Deluxe (3X),3.5,598,19,3,"Mansarover Garden Ring Road, near Indian Oil Petrol Pump, Delhi",28.638882,77.129946,https://bit.ly/2Ul0l6w,https://images.oyoroomscdn.com/uploads/hotel_image/111358/bc8564c43a5bedbf.jpg,DEL3087
OYO 43033 Superb Stay,2020,Classic (2X),,,5,3,"F 15/4, Lala Hans Raj Mahajan Rd, Krishna Nagar, Opposite Monga Nursing Home, Delhi",28.6586242068367,77.2868174314499,http://bit.ly/2WXHBdH,https://images.oyoroomscdn.com/uploads/hotel_image/61219/183e96be0e0e7dcf.jpg,DEL1723
OYO 69983 Happy Inn,2388,Classic (2X),,,14,3,"1/9249-C, Street No.5 West Rohtas Nagar Shahdara Near Shahdara Metro Station, Delhi-110032, Delhi",28.6756080156586,77.287829965353,http://bit.ly/2NFdQaN,https://images.oyoroomscdn.com/uploads/hotel_image/96435/240d2c9b87a451ea.jpg,DEL2418
OYO Townhouse 118 Gagan Vihar,2758,Classic (2X),3.8,4107,28,3,"20, Gagan Vihar, Krishna Nagar, Delhi",28.646,77.296722,https://bit.ly/3vPvYlr,https://images.oyoroomscdn.com/uploads/hotel_image/107244/8d88f61d704b7cb9.jpg,DEL2823
OYO 40634 Hans International,2878,Classic (2X),3.7,129,15,3,"7965 Arakashan Road, Paharganj, Ram Nagar, Paharganj, Delhi",28.646454,77.213705,http://bit.ly/2wKfjUn,https://images.oyoroomscdn.com/uploads/hotel_image/59022/042250d72641a08f.jpg,DEL1644
OYO 305 Hotel Rajdeep Palace,2357,Classic (2X),,,23,3,"Near Bank of Baroda, Delhi",28.5662656,77.2696014,http://bit.ly/2BQe7DH,https://images.oyoroomscdn.com/uploads/hotel_image/25/991aa116aa0172ac.jpg,DEL006
OYO 79963 Collection O Hotel Tisya,2163,Classic (2X),,,7,3,"Vardhman Market, Co-operative Group Housing Societies Pitampura, Delhi",28.6910649979354,77.1003998816013,https://bit.ly/3vXwOxT,https://images.oyoroomscdn.com/uploads/hotel_image/111489/f8ec6e47eb39fecd.jpg,DEL3096
OYO 77846 The Golden Bridge,2386,Classic (2X),3.7,287,10,3,"SNear Union bank, Sector 7, Rohini,  New Delhi, Delhi",28.7058267127584,77.1115838550031,https://bit.ly/2YXiqGI,https://images.oyoroomscdn.com/uploads/hotel_image/109054/3f27eeae8897d9b2.jpg,DEL2934
OYO Flagship 74558 Mishra Guest House,1732,Classic (2X),,,12,3,"Yusuf sarai hauz khas thehsil south east Delhi ,, Delhi",28.5607555777461,77.2067278437316,https://bit.ly/38vMU6n,https://images.oyoroomscdn.com/uploads/hotel_image/104713/9123073687b109ab.jpg,DEL2685
OYO 79243 Jai Vilas,1594,Classic (2X),,,15,3,"Galli Number 6, Multani Dhanda, Paharganj, Karol Bagh Tehsil, Central Delhi, Delhi, India, Delhi",28.646809244064574,77.21310705052954,https://bit.ly/3wGUC9D,https://images.oyoroomscdn.com/uploads/hotel_image/110671/b4ee7491a3ddd492.jpg,DEL3043
OYO 77909 Lisa Homes,1519,Saver Double (X),,,5,2,"mandir waali gali, near metro pillar 718, Delhi",28.6211356828498,77.0480681397021,https://bit.ly/37gxOlO,https://images.oyoroomscdn.com/uploads/hotel_image/109120/2418fe485463d7f3.jpg,DEL2940
OYO Home 63850 Elegant Stay ,1724,Classic (2X),,,10,3,"Pocket 7, Sector 22, Rohini, Delhi",28.71991377579523,77.0621601305902,"https://www.google.com/maps/search/?api=1&query=28.71991377579523,77.0621601305902",https://images.oyoroomscdn.com/uploads/hotel_image/86067/6527cbb819bc19b7.jpg,DEL2143
OYO 77522 Raj Palace,2045,Saver Double (X),,,3,2,"H. No. 1010/121, Chauhan Market, Madanpur Khadar, Sarita Vihar, New Delhi, Delhi",28.532341,77.297569,https://bit.ly/3nUsVFz,https://images.oyoroomscdn.com/uploads/hotel_image/108680/b44233f87df618eb.jpg,DEL2905
Collection 82643 The Crown,2290,Classic (2X),,,7,3,"2A, Sherpur Chowk, Near Bhajanpura, Delhi",28.7110407466643,77.2621670924127,https://bit.ly/3gGfho0,https://images.oyoroomscdn.com/uploads/hotel_image/114739/dc0ee20c21cdcecf.jpg,DEL3318
Townhouse OAK Safdarjung,2662,Classic (2X),3.5,13,32,3,"Narouji Nagar Marg, Safdarjung Enclave, Delhi",28.5658448938699,77.1951722167432,https://bit.ly/2XhyrcV,https://images.oyoroomscdn.com/uploads/hotel_image/114629/f9d1e6476c0f102f.jpg,DEL3313
